pond,month,year,transp
3007,7,2007,20
3007,5,2008,60
3007,7,2008,45
3007,5,2009,150
3007,7,2009,40
3007,7,2010,35
3007,5,2011,151
3007,7,2011,45
3007,5,2012,90
3007,7,2012,60
3007,5,2013,90
3007,7,2013,50
3007,5,2014,151
3007,7,2014,50
3007,5,2015,190
3007,7,2015,50
3007,5,2016,200
3007,7,2016,60
3008,7,2005,25
3008,7,2006,70
3008,5,2007,120
3008,7,2007,15
3008,5,2008,150
3008,7,2008,70
3008,7,2009,45
3008,7,2010,28
3008,5,2011,30
3008,7,2011,20
3008,5,2012,65
3008,7,2012,30
3008,5,2013,100
3008,7,2013,25
3008,5,2014,45
3008,7,2014,20
3008,5,2015,55
3008,7,2015,25
3008,5,2016,82
3008,7,2016,50
3016,7,2005,20
3016,5,2007,28
3016,7,2007,30
3016,5,2008,80
3016,7,2008,20
3016,5,2009,150
3016,7,2009,15
3016,5,2010,80
3016,7,2010,30
3016,5,2011,30
3016,7,2011,20
3016,5,2012,20
3016,7,2012,18
3016,5,2013,30
3016,7,2013,20
3016,5,2014,55
3016,7,2014,20
3016,5,2015,55
3016,7,2015,15
3016,5,2016,40
3016,7,2016,25
3017,7,2005,15
3017,7,2006,15
3017,5,2007,30
3017,7,2007,35
3017,5,2008,110
3017,7,2008,20
3017,5,2009,15
3017,7,2009,50
3017,7,2010,70
3017,5,2011,30
3017,7,2011,17
3017,5,2012,70
3017,7,2012,30
3017,5,2013,25
3017,7,2013,20
3017,5,2014,60
3017,7,2014,48
3017,5,2015,30
3017,7,2015,10
3017,5,2016,90
3017,7,2016,90
3018,7,2005,30
3018,7,2006,50
3018,5,2007,28
3018,7,2007,10
3018,7,2008,35
3018,5,2009,90
3018,7,2009,15
3018,5,2011,90
3018,7,2011,30
3018,5,2012,45
3018,7,2012,28
3018,5,2013,85
3018,7,2013,25
3018,5,2014,151
3018,7,2014,151
3018,5,2015,85
3018,7,2015,65
3018,5,2016,48
3035,5,2006,20
3035,5,2007,20
3035,7,2007,15
3035,7,2008,20
3035,7,2009,30
3035,5,2010,90
3035,7,2010,30
3035,5,2011,40
3035,7,2011,20
3035,5,2012,45
3035,7,2012,40
3035,5,2013,120
3035,7,2013,70
3035,5,2014,50
3035,7,2014,25
3035,5,2015,200
3035,7,2015,35
3035,5,2016,50
3035,7,2016,30
3036,7,2005,25
3036,5,2006,40
3036,5,2007,20
3036,7,2007,17
3036,5,2008,30
3036,7,2008,60
3036,5,2009,45
3036,7,2009,65
3036,5,2010,90
3036,7,2010,35
3036,5,2016,67
3036,7,2016,45
3103,5,2005,85
3103,7,2005,25
3103,5,2006,50
3103,7,2006,25
3103,5,2007,30
3103,7,2007,10
3103,5,2008,40
3103,7,2008,30
3103,5,2009,40
3103,7,2009,60
3103,5,2010,90
3103,7,2010,20
3103,5,2011,50
3103,7,2011,35
3103,5,2012,100
3103,7,2012,45
3103,5,2013,50
3103,7,2013,30
3103,5,2014,32
3103,7,2014,28
3103,5,2015,67
3103,7,2015,20
3103,5,2016,110
3104,5,2005,180
3104,7,2005,25
3104,5,2006,35
3104,7,2006,10
3104,5,2007,50
3104,7,2007,5
3104,5,2008,85
3104,7,2008,30
3104,5,2009,130
3104,7,2009,50
3104,5,2010,70
3104,7,2010,20
3104,5,2011,45
3104,7,2011,25
3104,5,2013,60
3104,7,2013,42
3104,5,2014,120
3104,7,2014,13
3104,5,2015,110
3104,7,2015,10
3104,5,2016,42
3104,7,2016,17
3105,5,2005,180
3105,7,2005,20
3105,5,2006,25
3105,7,2006,20
3105,5,2007,30
3105,7,2007,20
3105,5,2008,140
3105,7,2008,40
3105,5,2009,50
3105,7,2009,45
3105,5,2010,65
3105,7,2010,40
3105,5,2011,35
3105,7,2011,30
3105,5,2012,151
3105,7,2012,15
3105,5,2013,151
3105,7,2013,3
3105,5,2014,50
3105,7,2014,20
3105,5,2015,64
3105,7,2015,22
3105,5,2016,60
3105,7,2016,26
3106,5,2005,20
3106,7,2005,10
3106,5,2006,40
3106,7,2006,20
3106,5,2007,20
3106,7,2007,15
3106,5,2008,40
3106,7,2008,25
3106,5,2009,190
3106,7,2009,40
3106,5,2010,40
3106,7,2010,20
3106,5,2011,35
3106,7,2011,25
3106,5,2012,30
3106,7,2012,20
3106,5,2013,50
3106,7,2013,30
3106,5,2014,30
3106,7,2014,18
3106,5,2015,35
3106,7,2015,15
3106,5,2016,79
3106,7,2016,26
3107,5,2005,160
3107,7,2005,15
3107,5,2006,120
3107,7,2006,30
3107,7,2007,20
3107,7,2008,25
3107,5,2009,30
3107,7,2009,70
3107,7,2010,70
3107,5,2011,50
3107,7,2011,30
3107,5,2012,151
3107,7,2012,25
3107,5,2013,15
3107,7,2013,20
3107,5,2014,25
3107,7,2014,15
3107,5,2015,40
3107,7,2015,15
3107,7,2016,20
3108,5,2007,45
3108,5,2008,80
3108,5,2012,151
3108,7,2012,30
3108,5,2013,80
3108,7,2013,32
3108,5,2014,55
3108,7,2014,90
3108,5,2015,100
3108,7,2015,70
3108,5,2016,22
3108,7,2016,40
3109,5,2005,20
3109,7,2005,20
3109,7,2006,20
3109,5,2007,80
3109,7,2007,10
3109,5,2008,30
3109,7,2008,20
3109,7,2009,20
3109,5,2010,40
3109,7,2010,10
3109,5,2011,151
3109,7,2011,15
3109,5,2012,15
3109,7,2012,15
3109,5,2013,151
3109,7,2013,40
3109,5,2014,40
3109,7,2014,20
3109,5,2015,30
3109,7,2015,35
3109,5,2016,35
3109,7,2016,25
3110,5,2005,60
3110,7,2005,20
3110,5,2006,50
3110,7,2006,45
3110,5,2007,200
3110,7,2007,10
3110,7,2008,30
3110,5,2009,70
3110,7,2009,60
3110,5,2010,180
3110,7,2010,45
3110,5,2011,36
3110,7,2011,45
3110,5,2012,60
3110,7,2012,40
3110,5,2013,80
3110,7,2013,40
3110,5,2014,75
3110,5,2015,155
3110,7,2015,45
3110,5,2016,150
3110,7,2016,28
3111,5,2005,60
3111,7,2005,15
3111,5,2006,60
3111,7,2006,30
3111,5,2007,80
3111,7,2007,10
3111,7,2008,70
3111,5,2009,60
3111,7,2009,60
3111,5,2010,80
3111,7,2010,60
3111,5,2011,50
3111,7,2011,30
3111,5,2012,60
3111,7,2012,40
3111,5,2013,151
3111,7,2013,48
3111,5,2014,40
3111,7,2014,42
3111,5,2015,100
3111,7,2015,38
3111,5,2016,150
3111,7,2016,30
3112,5,2005,60
3112,7,2005,20
3112,5,2006,60
3112,7,2006,20
3112,5,2007,60
3112,7,2007,10
3112,7,2008,35
3112,5,2009,60
3112,7,2009,30
3112,5,2010,80
3112,7,2010,35
3112,5,2011,90
3112,7,2011,25
3112,5,2012,151
3112,7,2012,60
3112,5,2013,151
3112,7,2013,35
3112,5,2014,50
3112,7,2014,70
3112,5,2015,130
3112,7,2015,200
3112,5,2016,150
3112,7,2016,21
3113,5,2005,60
3113,7,2005,20
3113,7,2006,20
3113,5,2007,125
3113,7,2007,20
3113,7,2008,40
3113,5,2009,90
3113,7,2009,110
3113,5,2010,140
3113,7,2010,50
3113,5,2011,90
3113,7,2011,25
3113,5,2012,70
3113,7,2012,70
3113,5,2013,50
3113,7,2013,80
3113,5,2014,100
3113,7,2014,151
3113,5,2015,120
3113,7,2015,32
3113,7,2016,45
3114,5,2005,50
3114,7,2005,10
3114,5,2006,80
3114,7,2006,25
3114,5,2007,45
3114,7,2007,10
3114,5,2008,50
3114,7,2008,50
3114,5,2009,70
3114,7,2009,40
3114,5,2010,100
3114,7,2010,10
3114,5,2011,85
3114,7,2011,30
3114,5,2012,70
3114,7,2012,35
3114,5,2013,40
3114,7,2013,25
3114,5,2014,70
3114,7,2014,38
3114,5,2015,60
3114,7,2015,27
3114,5,2016,110
3114,7,2016,15
3115,5,2005,60
3115,7,2005,20
3115,5,2006,45
3115,7,2006,20
3115,7,2007,10
3115,7,2008,30
3115,5,2009,20
3115,7,2009,25
3115,5,2010,30
3115,7,2010,30
3115,5,2011,15
3115,7,2011,30
3115,5,2012,80
3115,7,2012,50
3115,5,2013,80
3115,7,2013,20
3115,5,2014,20
3115,7,2014,20
3115,5,2015,30
3115,7,2015,25
3115,7,2016,16
3116,5,2005,40
3116,7,2005,30
3116,5,2006,80
3116,7,2006,40
3116,5,2007,80
3116,7,2007,10
3116,7,2008,30
3116,5,2009,110
3116,7,2009,55
3116,5,2010,60
3116,7,2010,15
3116,5,2011,100
3116,7,2011,20
3116,5,2012,80
3116,7,2012,20
3116,5,2013,151
3116,7,2013,45
3116,7,2014,22
3116,5,2015,110
3116,7,2015,17
3116,5,2016,16
3117,7,2005,10
3117,5,2006,20
3117,7,2006,20
3117,5,2007,40
3117,7,2007,10
3117,7,2008,35
3117,7,2009,30
3117,5,2010,85
3117,7,2010,15
3117,5,2011,60
3117,7,2011,120
3117,5,2012,10
3117,7,2012,25
3117,5,2013,151
3117,7,2013,20
3117,5,2014,25
3117,7,2014,20
3117,5,2015,100
3117,7,2015,53
3117,5,2016,60
3117,7,2016,17
3118,7,2005,10
3118,5,2006,20
3118,7,2006,20
3118,7,2007,10
3118,5,2008,140
3118,7,2008,25
3118,5,2009,60
3118,5,2010,45
3118,7,2010,30
3118,5,2011,60
3118,7,2011,20
3118,5,2012,30
3118,7,2012,40
3118,5,2013,151
3118,7,2013,25
3118,7,2014,25
3118,5,2015,20
3118,7,2015,15
3118,5,2016,72
3118,7,2016,22
3119,5,2005,15
3119,7,2005,10
3119,5,2006,20
3119,5,2007,20
3119,7,2007,10
3119,7,2008,30
3119,5,2009,30
3119,7,2009,20
3119,7,2010,60
3119,5,2011,80
3119,7,2011,20
3119,5,2012,35
3119,7,2012,25
3119,5,2013,20
3119,7,2013,20
3119,5,2014,75
3119,7,2014,25
3119,5,2015,70
3119,7,2015,20
3119,5,2016,50
3119,7,2016,17
3120,5,2005,40
3120,7,2005,10
3120,5,2006,90
3120,7,2006,30
3120,5,2007,40
3120,7,2007,10
3120,5,2008,110
3120,7,2008,30
3120,5,2009,140
3120,5,2010,20
3120,7,2010,20
3120,5,2011,100
3120,7,2011,20
3120,5,2012,50
3120,7,2012,20
3120,5,2013,35
3120,7,2013,25
3120,7,2014,28
3120,5,2015,40
3120,7,2015,20
3120,5,2016,35
3120,7,2016,20
3121,5,2008,25
3121,7,2008,30
3121,7,2009,70
3121,5,2010,25
3121,7,2010,15
3121,5,2011,75
3121,7,2011,30
3121,5,2012,25
3121,7,2012,35
3121,5,2013,80
3121,7,2013,25
3121,7,2014,28
3121,5,2015,70
3121,7,2015,25
3121,7,2016,20
3125,5,2005,40
3125,7,2005,15
3125,5,2006,100
3125,7,2006,20
3125,5,2007,70
3125,7,2007,20
3125,5,2008,100
3125,7,2008,20
3125,5,2009,150
3125,7,2009,30
3125,5,2010,50
3125,7,2010,10
3125,5,2011,75
